ID;DOCID;BEGINTIME;ENDTIME;BEGINTIME_P;ENDTIME_P;ENABLED;SHIFTDATE;HIDEINTALONS
70971;55;0.375;0.5;;;1;44366;0
70972;55;0.375;0.5;;;0;44367;0
70973;55;0.375;0.5;;;1;44373;0
70991;176;0.333333;0.541667;;;0;44367;0
70992;176;0.333333;0.541667;;;0;44374;0
70995;176;0.680556;0.833333;;;1;44365;0
70996;176;0.680556;0.833333;;;1;44372;0
71001;414;0.6875;0.791667;;;1;44369;0
71002;414;0.6875;0.791667;;;1;44376;0
71005;414;0.375;0.5;;;1;44366;0
71006;414;0.375;0.5;;;1;44373;0
71012;131;0.458333;0.666667;;;0;44373;0
71018;24;0.666667;0.729167;;;1;44368;0
71019;24;0.666667;0.729167;;;0;44375;0
71027;147;0.708333;0.833333;;;1;44363;0
71028;147;0.708333;0.833333;;;1;44370;0
71029;147;0.708333;0.833333;;;1;44377;0
71033;487;0.333333;0.583333;;;0;44366;0
71034;487;0.333333;0.583333;;;0;44373;0
71042;440;0.375;0.625;;;0;44363;0
71043;440;0.375;0.625;;;1;44365;0
71044;440;0.375;0.625;;;1;44370;0
71045;440;0.375;0.625;;;1;44372;0
71046;440;0.375;0.625;;;1;44377;0
71050;16;0.416667;0.541667;;;1;44366;0
71051;16;0.416667;0.541667;;;1;44373;0
71055;473;0.416667;0.5;;;1;44368;0
71056;473;0.416667;0.5;;;1;44375;0
71061;473;0.416667;0.541667;;;0;44363;0
71062;473;0.416667;0.541667;;;1;44365;0
71063;473;0.416667;0.541667;;;0;44370;0
71064;473;0.416667;0.541667;;;1;44372;0
71065;473;0.416667;0.541667;;;0;44377;0
71066;473;0.416667;0.541667;;;1;44379;0
71072;269;0.291667;0.625;;;1;44364;0
71073;269;0.291667;0.625;;;1;44369;0
71074;269;0.291667;0.625;;;1;44371;0
71075;269;0.291667;0.625;;;0;44376;0
71076;269;0.291667;0.625;;;1;44378;0
71088;245;0.625;0.833333;;;1;44363;0
71089;245;0.625;0.833333;;;1;44364;0
71090;245;0.625;0.833333;;;1;44365;0
71091;245;0.625;0.833333;;;1;44368;0
71092;245;0.625;0.833333;;;1;44369;0
71093;245;0.625;0.833333;;;1;44370;0
71094;245;0.625;0.833333;;;1;44371;0
71095;245;0.625;0.833333;;;1;44372;0
71096;245;0.625;0.833333;;;1;44375;0
71097;245;0.625;0.833333;;;1;44376;0
71098;245;0.625;0.833333;;;1;44377;0
71099;245;0.625;0.833333;;;1;44378;0
71100;245;0.625;0.833333;;;1;44379;0
71104;490;0.625;0.75;;;1;44369;0
71105;490;0.625;0.75;;;1;44376;0
71108;11;0.6875;0.833333;;;1;44368;0
71109;11;0.6875;0.833333;;;1;44375;0
71114;377;0.375;0.583333;;;1;44363;0
71115;377;0.375;0.583333;;;1;44365;0
71116;377;0.375;0.583333;;;1;44370;0
71117;377;0.375;0.583333;;;1;44372;0
71118;377;0.375;0.583333;;;1;44377;0
71119;377;0.375;0.583333;;;1;44379;0
71122;11;0.333333;0.5;;;0;44366;0
71123;11;0.333333;0.5;;;0;44373;0
71124;11;0.333333;0.5;;;1;44380;0
71127;322;0.333333;0.5;;;1;44366;0
71128;322;0.5;0.625;;;1;44373;0
71129;322;0.5;0.625;;;1;44380;0
71136;472;0.333333;0.458333;;;1;44363;0
71137;472;0.333333;0.458333;;;1;44365;0
71138;472;0.333333;0.458333;;;1;44368;0
71139;472;0.333333;0.458333;;;1;44370;0
71140;472;0.333333;0.458333;;;1;44372;0
71141;472;0.333333;0.458333;;;1;44375;0
71142;472;0.333333;0.458333;;;1;44377;0
71143;472;0.333333;0.458333;;;1;44379;0
71149;472;0.5;0.625;;;0;44364;0
71150;472;0.5;0.625;;;1;44369;0
71151;472;0.5;0.625;;;1;44371;0
71152;472;0.5;0.625;;;1;44376;0
71153;472;0.5;0.625;;;1;44378;0
71158;478;0.333333;0.5;;;0;44363;0
71159;478;0.333333;0.5;;;0;44368;0
71160;478;0.333333;0.5;;;0;44370;0
71161;478;0.333333;0.5;;;1;44375;0
71162;478;0.333333;0.5;;;1;44377;0
71165;181;0.541667;0.625;;;0;44363;0
71166;181;0.541667;0.625;;;0;44370;0
71167;181;0.541667;0.625;;;0;44377;0
71174;471;0.583333;0.833333;;;0;44363;0
71175;471;0.583333;0.833333;;;0;44365;0
71176;471;0.583333;0.833333;;;0;44368;0
71177;471;0.583333;0.833333;;;0;44370;0
71178;471;0.583333;0.833333;;;0;44372;0
71179;471;0.583333;0.833333;;;0;44375;0
71180;471;0.583333;0.833333;;;0;44377;0
71181;471;0.583333;0.833333;;;1;44379;0
71187;471;0.333333;0.583333;;;0;44364;0
71188;471;0.333333;0.583333;;;0;44369;0
71189;471;0.333333;0.583333;;;0;44371;0
71190;471;0.333333;0.583333;;;0;44376;0
71191;471;0.333333;0.583333;;;1;44378;0
71196;474;0.354167;0.541667;;;1;44363;0
71197;474;0.354167;0.541667;;;1;44365;0
71198;474;0.354167;0.541667;;;1;44370;0
71199;474;0.354167;0.541667;;;1;44372;0
71200;474;0.354167;0.541667;;;1;44377;0
71201;474;0.354167;0.541667;;;1;44379;0
71204;486;0.5;0.625;;;1;44366;0
71205;486;0.333333;0.5;;;1;44373;0
71206;486;0.333333;0.5;;;1;44380;0
71211;455;0.375;0.541667;;;0;44363;0
71212;455;0.375;0.541667;;;1;44368;0
71213;455;0.375;0.541667;;;1;44370;0
71214;455;0.375;0.541667;;;1;44375;0
71215;455;0.375;0.541667;;;1;44377;0
71227;457;0.5;0.625;;;1;44363;0
71228;457;0.5;0.625;;;1;44364;0
71229;457;0.5;0.625;;;1;44365;0
71230;457;0.5;0.625;;;1;44368;0
71231;457;0.5;0.625;;;1;44369;0
71232;457;0.5;0.625;;;1;44370;0
71233;457;0.5;0.625;;;1;44371;0
71234;457;0.5;0.625;;;1;44372;0
71235;457;0.5;0.625;;;1;44375;0
71236;457;0.5;0.625;;;1;44376;0
71237;457;0.5;0.625;;;1;44377;0
71238;457;0.5;0.625;;;1;44378;0
71239;457;0.5;0.625;;;1;44379;0
71242;457;0.333333;0.625;;;1;44366;0
71243;457;0.333333;0.625;;;1;44373;0
71244;457;0.333333;0.625;;;1;44380;0
71258;485;0.5;0.625;;;1;44363;0
71259;485;0.5;0.625;;;1;44364;0
71260;485;0.5;0.625;;;1;44365;0
71261;485;0.5;0.625;;;1;44366;0
71262;485;0.5;0.625;;;1;44368;0
71263;485;0.5;0.625;;;1;44369;0
71264;485;0.5;0.625;;;1;44370;0
71265;485;0.5;0.625;;;1;44371;0
71266;485;0.5;0.625;;;1;44372;0
71267;485;0.5;0.625;;;1;44373;0
71268;485;0.5;0.625;;;1;44375;0
71269;485;0.5;0.625;;;1;44376;0
71270;485;0.5;0.625;;;1;44377;0
71284;54;0.5;0.625;;;1;44363;0
71285;54;0.5;0.625;;;1;44364;0
71286;54;0.5;0.625;;;1;44365;0
71287;54;0.5;0.625;;;1;44366;0
71288;54;0.5;0.625;;;1;44368;0
71289;54;0.5;0.625;;;1;44369;0
71290;54;0.5;0.625;;;1;44370;0
71291;54;0.5;0.625;;;1;44371;0
71292;54;0.5;0.625;;;1;44372;0
71293;54;0.5;0.625;;;1;44373;0
71294;54;0.5;0.625;;;1;44375;0
71295;54;0.5;0.625;;;1;44376;0
71296;54;0.5;0.625;;;1;44377;0
71299;54;0.5;0.541667;;;1;44367;0
71300;54;0.5;0.541667;;;1;44374;0
71316;402;0.333333;0.416667;;;1;44363;0
71317;402;0.333333;0.416667;;;1;44364;0
71318;402;0.333333;0.416667;;;1;44365;0
71319;402;0.333333;0.416667;;;1;44366;0
71320;402;0.333333;0.416667;;;1;44367;0
71321;402;0.333333;0.416667;;;1;44368;0
71322;402;0.333333;0.416667;;;1;44369;0
71323;402;0.333333;0.416667;;;1;44370;0
71324;402;0.333333;0.416667;;;1;44371;0
71325;402;0.333333;0.416667;;;1;44372;0
71326;402;0.333333;0.416667;;;1;44373;0
71327;402;0.333333;0.416667;;;1;44374;0
71328;402;0.333333;0.416667;;;1;44375;0
71329;402;0.333333;0.416667;;;1;44376;0
71330;402;0.333333;0.416667;;;1;44377;0
71344;482;0.333333;0.416667;;;1;44363;0
71345;482;0.333333;0.416667;;;1;44364;0
71346;482;0.333333;0.416667;;;1;44365;0
71347;482;0.333333;0.416667;;;1;44366;0
71348;482;0.333333;0.416667;;;1;44368;0
71349;482;0.333333;0.416667;;;1;44369;0
71350;482;0.333333;0.416667;;;1;44370;0
71351;482;0.333333;0.416667;;;1;44371;0
71352;482;0.333333;0.416667;;;1;44372;0
71353;482;0.333333;0.416667;;;1;44373;0
71354;482;0.333333;0.416667;;;1;44375;0
71355;482;0.333333;0.416667;;;1;44376;0
71356;482;0.333333;0.416667;;;1;44377;0
71357;482;0.333333;0.416667;;;1;44378;0
71358;482;0.333333;0.416667;;;1;44379;0
71359;482;0.333333;0.416667;;;1;44380;0
71371;493;0.708333;0.833333;;;0;44363;0
71372;493;0.708333;0.833333;;;0;44364;0
71373;493;0.708333;0.833333;;;0;44365;0
71374;493;0.708333;0.833333;;;0;44368;0
71375;493;0.708333;0.833333;;;0;44369;0
71376;493;0.708333;0.833333;;;0;44370;0
71377;493;0.708333;0.833333;;;0;44371;0
71378;493;0.708333;0.833333;;;0;44372;0
71379;493;0.708333;0.833333;;;0;44375;0
71380;493;0.708333;0.833333;;;0;44376;0
71381;493;0.708333;0.833333;;;0;44377;0
71382;493;0.708333;0.833333;;;1;44378;0
71383;493;0.708333;0.833333;;;1;44379;0
71386;493;0.333333;0.625;;;0;44366;0
71387;493;0.333333;0.625;;;0;44373;0
71388;493;0.333333;0.625;;;1;44380;0
71392;489;0.6875;0.8125;;;1;44369;0
71393;489;0.6875;0.8125;;;1;44376;0
71394;489;0.708333;0.833333;;;1;44364;0
71395;489;0.708333;0.833333;;;1;44371;0
71396;489;0.708333;0.833333;;;1;44378;0
71400;480;0.416667;0.5625;;;1;44369;0
71401;480;0.416667;0.5625;;;1;44376;0
71404;480;0.625;0.75;;;1;44364;0
71405;480;0.625;0.75;;;1;44371;0
71406;480;0.625;0.75;;;1;44378;0
71410;437;0.541667;0.604167;;;1;44363;0
71411;437;0.375;0.5;;;0;44368;0
71412;437;0.333333;0.5;;;0;44370;0
71413;437;0.375;0.5;;;0;44375;0
71414;437;0.333333;0.5;;;0;44377;0
71417;475;0.46875;0.583333;;;1;44364;0
71418;475;0.46875;0.583333;;;1;44371;0
71419;475;0.46875;0.583333;;;1;44378;0
71422;476;0.666667;0.833333;;;1;44365;0
71423;476;0.666667;0.833333;;;1;44372;0
71424;476;0.666667;0.833333;;;1;44379;0
71427;495;0.6875;0.791667;;;1;44368;0
71428;495;0.6875;0.791667;;;1;44375;0
71432;300;0.583333;0.833333;;;1;44369;0
71433;300;0.583333;0.833333;;;1;44376;0
71436;300;0.333333;0.583333;;;1;44364;0
71437;300;0.333333;0.583333;;;1;44371;0
71438;300;0.333333;0.583333;;;1;44378;0
71441;416;0.708333;0.833333;;;1;44365;0
71442;416;0.708333;0.833333;;;1;44372;0
71443;416;0.708333;0.833333;;;1;44379;0
71449;496;0.375;0.520833;;;0;44368;0
71450;496;0.625;0.708333;;;0;44369;0
71451;496;0.375;0.520833;;;0;44375;0
71452;496;0.625;0.708333;;;0;44376;0
71457;73;0.375;0.541667;;;1;44365;0
71458;73;0.375;0.541667;;;1;44368;0
71459;73;0.375;0.541667;;;1;44372;0
71460;73;0.375;0.541667;;;1;44375;0
71461;73;0.375;0.541667;;;1;44379;0
71467;464;0.333333;0.666667;;;1;44364;0
71468;464;0.333333;0.666667;;;0;44369;0
71469;464;0.333333;0.666667;;;1;44371;0
71470;464;0.333333;0.666667;;;1;44376;0
71471;464;0.333333;0.666667;;;1;44378;0
71478;464;0.458333;0.791667;;;1;44363;0
71479;464;0.458333;0.791667;;;1;44365;0
71480;464;0.458333;0.791667;;;0;44368;0
71481;464;0.458333;0.791667;;;1;44370;0
71482;464;0.458333;0.791667;;;1;44372;0
71483;464;0.458333;0.791667;;;1;44375;0
71484;464;0.333333;0.666667;;;1;44377;0
71485;464;0.458333;0.791667;;;1;44379;0
71491;80;0.3125;0.395833;;;1;44364;0
71492;80;0.3125;0.395833;;;1;44369;0
71493;80;0.3125;0.395833;;;1;44371;0
71494;80;0.3125;0.395833;;;1;44376;0
71497;80;0.354167;0.479167;;;1;44366;0
71498;80;0.354167;0.479167;;;1;44373;0
71503;446;0.708333;0.791667;;;0;44364;0
71504;446;0.708333;0.791667;;;0;44368;0
71505;446;0.708333;0.791667;;;0;44371;0
71506;446;0.708333;0.791667;;;0;44375;0
71509;145;0.416667;0.541667;;;1;44367;0
71510;145;0.416667;0.541667;;;1;44374;0
71513;96;0.291667;0.541667;;;1;44363;0
71514;96;0.291667;0.541667;;;1;44370;0
71515;96;0.291667;0.541667;;;1;44377;0
71519;296;0.375;0.5;;;1;44370;0
71520;296;0.375;0.5;;;1;44377;0
71521;296;0.375;0.5;;;0;44364;0
71524;430;0.375;0.458333;;;0;44368;0
71525;430;0.375;0.458333;;;0;44375;0
71528;430;0.333333;0.520833;;;0;44366;0
71529;430;0.333333;0.520833;;;0;44373;0
71541;491;0.625;0.833333;;;1;44363;0
71542;491;0.625;0.833333;;;1;44364;0
71543;491;0.625;0.833333;;;1;44365;0
71544;491;0.625;0.833333;;;1;44368;0
71545;491;0.625;0.833333;;;1;44369;0
71546;491;0.625;0.833333;;;0;44370;0
71547;491;0.625;0.833333;;;1;44371;0
71548;491;0.625;0.833333;;;1;44372;0
71549;491;0.625;0.833333;;;1;44375;0
71550;491;0.625;0.833333;;;1;44376;0
71551;491;0.625;0.833333;;;0;44377;0
71554;491;0.354167;0.583333;;;1;44366;0
71555;491;0.354167;0.583333;;;1;44373;0
71558;404;0.333333;0.479167;;;1;44365;0
71559;404;0.333333;0.479167;;;1;44372;0
71561;492;0.541667;0.677083;;;1;44369;0
71562;492;0.541667;0.677083;;;1;44376;0
71563;492;0.541667;0.677083;;;1;44385;0
71567;430;0.375;0.5;;;1;44368;0
71568;430;0.375;0.5;;;1;44375;0
71571;404;0.354167;0.541667;;;1;44363;0
71572;404;0.354167;0.541667;;;1;44370;0
71573;404;0.354167;0.541667;;;1;44377;0
71577;457;0.666667;0.791667;;;1;44363;0
71578;457;0.666667;0.791667;;;1;44370;0
71579;457;0.666667;0.791667;;;1;44377;0
71582;500;0.708333;0.791667;;;1;44363;0
71583;500;0.708333;0.791667;;;1;44370;0
71584;500;0.708333;0.791667;;;1;44377;0
71587;501;0.708333;0.833333;;;1;44363;0
71588;501;0.708333;0.833333;;;1;44370;0
71589;501;0.708333;0.833333;;;1;44377;0
71592;337;0.333333;0.5;;;1;44368;0
71593;337;0.333333;0.5;;;1;44375;0
71598;502;0.625;0.833333;;;0;44365;0
71599;502;0.625;0.833333;;;0;44368;0
71600;502;0.625;0.833333;;;0;44372;0
71601;502;0.625;0.833333;;;0;44375;0
71605;502;0.333333;0.5;;;0;44369;0
71606;502;0.333333;0.5;;;0;44376;0
71609;502;0.333333;0.625;;;1;44366;0
71610;502;0.333333;0.625;;;0;44373;0
71614;45;0.6875;0.833333;;;0;44369;0
71615;45;0.6875;0.833333;;;0;44376;0
71619;479;0.625;0.75;;;1;44368;0
71620;479;0.625;0.75;;;1;44375;0
71624;389;0.458333;0.541667;;;0;44368;0
71625;389;0.458333;0.541667;;;1;44375;0
71635;365;0.333333;0.541667;;;1;44363;0
71636;365;0.333333;0.541667;;;1;44364;0
71637;365;0.333333;0.541667;;;1;44366;0
71638;365;0.333333;0.541667;;;1;44369;0
71639;365;0.333333;0.541667;;;1;44370;0
71640;365;0.333333;0.541667;;;1;44371;0
71641;365;0.333333;0.541667;;;1;44373;0
71642;365;0.333333;0.541667;;;1;44376;0
71643;365;0.333333;0.541667;;;1;44377;0
71646;365;0.666667;0.791667;;;1;44365;0
71647;365;0.666667;0.791667;;;1;44372;0
71652;437;0.520833;0.791667;;;0;44363;0
71653;437;0.333333;0.5;;;1;44368;0
71654;437;0.520833;0.791667;;;0;44370;0
71655;437;0.333333;0.5;;;1;44375;0
71656;437;0.520833;0.791667;;;0;44377;0
71664;437;0.5;0.666667;;;1;44364;0
71665;437;0.333333;0.666667;;;0;44365;0
71666;437;0.5;0.666667;;;1;44369;0
71667;437;0.5;0.666667;;;1;44371;0
71668;437;0.333333;0.666667;;;1;44372;0
71669;437;0.5;0.666667;;;1;44376;0
71670;386;0.402778;0.458333;;;1;44363;0
71671;386;0.402778;0.458333;;;1;44370;0
71672;386;0.402778;0.458333;;;1;44377;0
71676;480;0.458333;0.583333;;;1;44363;0
71677;480;0.458333;0.583333;;;1;44370;0
71678;480;0.458333;0.583333;;;1;44377;0
71682;455;0.625;0.791667;;;1;44369;0
71683;455;0.625;0.791667;;;1;44376;0
71695;488;0.6875;0.833333;;;1;44364;0
71696;488;0.6875;0.833333;;;0;44365;0
71697;488;0.6875;0.833333;;;1;44368;0
71698;488;0.6875;0.833333;;;1;44369;0
71699;488;0.6875;0.833333;;;1;44371;0
71700;488;0.6875;0.833333;;;0;44372;0
71701;488;0.6875;0.833333;;;1;44375;0
71702;488;0.6875;0.833333;;;1;44376;0
71709;494;0.541667;0.75;;;1;44363;0
71710;494;0.583333;0.708333;;;1;44369;0
71711;494;0.5;0.833333;;;1;44372;0
71712;494;0.583333;0.833333;;;1;44377;0
71715;427;0.333333;0.541667;;;0;44367;0
71716;427;0.333333;0.541667;;;0;44374;0
71719;437;0.375;0.625;;;1;44366;0
71720;437;0.375;0.625;;;1;44373;0
71727;269;0.291667;0.625;;;1;44363;0
71728;269;0.291667;0.625;;;1;44365;0
71729;269;0.291667;0.625;;;1;44368;0
71730;269;0.291667;0.625;;;1;44370;0
71731;269;0.291667;0.625;;;1;44372;0
71732;269;0.291667;0.625;;;1;44375;0
71733;269;0.291667;0.625;;;0;44377;0
71737;37;0.666667;0.791667;;;0;44369;0
71738;37;0.666667;0.791667;;;0;44376;0
71742;173;0.416667;0.625;;;0;44366;0
71751;181;0.541667;0.666667;;;1;44364;0
71752;181;0.541667;0.666667;;;1;44368;0
71753;181;0.541667;0.666667;;;1;44369;0
71754;181;0.541667;0.666667;;;1;44371;0
71755;181;0.541667;0.666667;;;1;44375;0
71756;181;0.541667;0.666667;;;1;44376;0
71759;181;0.625;0.833333;;;0;44365;0
71760;181;0.625;0.833333;;;1;44372;0
71766;503;0.666667;0.833333;;;1;44365;0
71767;503;0.666667;0.833333;;;1;44372;0
71771;463;0.583333;0.666667;;;0;44364;0
71772;463;0.583333;0.666667;;;0;44371;0
71778;461;0.708333;0.833333;;;0;44364;0
71779;461;0.708333;0.833333;;;1;44369;0
71780;461;0.708333;0.833333;;;1;44371;0
71781;461;0.708333;0.833333;;;1;44376;0
71789;504;0.333333;0.666667;;;1;44363;0
71790;504;0.333333;0.666667;;;1;44365;0
71791;504;0.333333;0.666667;;;1;44368;0
71792;504;0.333333;0.666667;;;1;44370;0
71793;504;0.333333;0.666667;;;1;44372;0
71794;504;0.333333;0.666667;;;1;44375;0
71795;504;0.333333;0.666667;;;1;44377;0
71799;504;0.5;0.833333;;;1;44364;0
71800;504;0.5;0.833333;;;1;44369;0
71801;504;0.5;0.833333;;;1;44371;0
71802;504;0.5;0.833333;;;1;44376;0
71807;153;0.6875;0.791667;;;0;44368;0
71808;153;0.6875;0.791667;;;1;44375;0
71812;45;0.6875;0.833333;;;0;44364;0
71813;45;0.6875;0.833333;;;1;44371;0
71816;45;0.6875;0.833333;;;0;44365;0
71819;194;0.375;0.458333;;;0;44367;0
71820;194;0.375;0.458333;;;1;44374;0
